aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
北海道,JR函館本線,函館,はこだて,"
	五稜郭	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.43.48.300N41.46.16.400&ZM=8&SZ=672,120",函館市若松町,0400063,"
函館本線
津軽海峡線
道南いさりび鉄道
"
北海道,JR函館本線,五稜郭,ごりょうかく,"
函館	桔梗	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.44.13.700N41.48.3.300&ZM=8&SZ=672,120",函館市亀田本町,0410813,"
函館本線
津軽海峡線
道南いさりび鉄道
"
北海道,JR函館本線,桔梗,ききょう,"
五稜郭	大中山	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.43.35.500N41.50.37.600&ZM=8&SZ=672,120",函館市桔梗町,0410801,"
函館本線
"
北海道,JR函館本線,大中山,おおなかやま,"
桔梗	七飯	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.43.1.400N41.51.43.900&ZM=8&SZ=672,120",亀田郡七飯町大中山,0411121,"
函館本線
"
北海道,JR函館本線,七飯,ななえ,"
大中山	新函館北斗	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.41.32.900N41.53.3.800&ZM=8&SZ=672,120",亀田郡七飯町本町,0411111,"
函館本線
"
北海道,JR函館本線,新函館北斗,しんはこだてほくと,"
七飯	仁山	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.39.1.200N41.54.10.100&ZM=8&SZ=672,120",北斗市市渡,0411242,"
函館本線
東北・北海道新幹線
"
北海道,JR函館本線,仁山,にやま,"
新函館北斗	大沼（北海道）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.38.19.600N41.55.38.700&ZM=8&SZ=672,120",亀田郡七飯町仁山,0411101,"
函館本線
"
北海道,JR函館本線,大沼（北海道）,おおぬま,"
仁山	大沼公園	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.40.22.300N41.58.10.100&ZM=8&SZ=672,120",亀田郡七飯町大沼町,0411354,"
函館本線
"
北海道,JR函館本線,大沼公園,おおぬまこうえん,"
大沼（北海道）	赤井川	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.40.24.100N41.58.42.600&ZM=8&SZ=672,120",亀田郡七飯町大沼町,0411354,"
函館本線
"
北海道,JR函館本線,赤井川,あかいがわ,"
大沼公園	駒ヶ岳	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.38.46.100N42.0.2.400&ZM=8&SZ=672,120",茅部郡森町赤井川,0492142,"
函館本線
"
