aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
東北,JR常磐線,上野,うえの,"
	日暮里	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E139.46.44.700N35.42.35.800&ZM=8&SZ=672,120",台東区上野,1100005,"
上越新幹線
京浜東北線
北陸新幹線
宇都宮線
山手線
常磐線
東京メトロ日比谷線
東京メトロ銀座線
東北・北海道新幹線
高崎線
"
東北,JR常磐線,日暮里,にっぽり,"
上野	三河島	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E139.46.27.600N35.43.26.200&ZM=8&SZ=672,120",荒川区西日暮里,1160013,"
京成成田スカイアクセス
京成本線
京浜東北線
山手線
常磐線
日暮里・舎人ライナー
"
東北,JR常磐線,三河島,みかわしま,"
日暮里	南千住	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E139.46.49.100N35.43.48.500&ZM=8&SZ=672,120",荒川区西日暮里,1160013,"
常磐線
"
,,,,,,,,
東北,JR常磐線,北千住,きたせんじゅ,"
南千住	松戸	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E139.48.30.400N35.44.46.800&ZM=8&SZ=672,120",足立区千住旭町,1200026,"
つくばエクスプレス
常磐線
常磐線各停
東京メトロ千代田線
東京メトロ日比谷線
東武スカイツリーライン
東武日光線・鬼怒川線
"
東北,JR常磐線,松戸,まつど,"
北千住	土浦	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E139.54.15.600N35.46.51.100&ZM=8&SZ=672,120",松戸市松戸,2710092,"
常磐線
常磐線各停
新京成線
"
東北,JR常磐線,土浦,つちうら,"
松戸	柏	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.12.34.200N36.4.31.000&ZM=8&SZ=672,120",土浦市有明町,3000035,"
常磐線
"
東北,JR常磐線,柏,かしわ,"
土浦	石岡	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E139.58.28.100N35.51.32.900&ZM=8&SZ=672,120",柏市柏,2770005,"
常磐線
常磐線各停
東武アーバンパークライン
"
東北,JR常磐線,石岡,いしおか,"
柏	我孫子	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.16.59.200N36.11.17.700&ZM=8&SZ=672,120",石岡市国府,3150014,"
常磐線
"
東北,JR常磐線,我孫子,あびこ,"
石岡	友部	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.0.49.500N35.52.10.600&ZM=8&SZ=672,120",我孫子市本町,2701151,"
常磐線
常磐線各停
成田線［我孫子－成田］
"
東北,JR常磐線,友部,ともべ,"
我孫子	赤塚（茨城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.18.33.700N36.20.50.300&ZM=8&SZ=672,120",笠間市友部駅前,3091735,"
常磐線
水戸線
"
東北,JR常磐線,赤塚（茨城）,あかつか,"
友部	天王台	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.25.6.300N36.22.42.900&ZM=8&SZ=672,120",水戸市赤塚,3114141,"
常磐線
水戸線
"
東北,JR常磐線,天王台,てんのうだい,"
赤塚（茨城）	偕楽園	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.2.39.100N35.52.9.800&ZM=8&SZ=672,120",我孫子市柴崎台,2701176,"
常磐線
常磐線各停
"
東北,JR常磐線,偕楽園,かいらくえん,"
天王台	取手	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.27.34.800N36.22.11.500&ZM=8&SZ=672,120",水戸市常磐町,3100033,"
常磐線
水戸線
"
東北,JR常磐線,取手,とりで,"
偕楽園	水戸	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.3.59.400N35.53.33.200&ZM=8&SZ=672,120",取手市中央町,3020014,"
常磐線
常磐線各停
関鉄常総線
"
東北,JR常磐線,水戸,みと,"
取手	藤代	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.28.48.900N36.22.3.600&ZM=8&SZ=672,120",水戸市宮町,3100015,"
常磐線
水戸線
水郡線
鹿島臨海鉄道大洗鹿島線
"
東北,JR常磐線,藤代,ふじしろ,"
水戸	勝田	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.7.17.100N35.55.2.400&ZM=8&SZ=672,120",取手市宮和田,3001514,"
常磐線
"
東北,JR常磐線,勝田,かつた,"
藤代	龍ヶ崎市	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.31.40.500N36.23.29.400&ZM=8&SZ=672,120",ひたちなか市勝田中央,3120045,"
ひたちなか海浜鉄道湊線
常磐線
水戸線
"
東北,JR常磐線,龍ヶ崎市,りゅうがさきし,"
勝田	日立	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.8.28.900N35.55.35.900&ZM=8&SZ=672,120",龍ケ崎市佐貫町,3010033,"
常磐線
"
東北,JR常磐線,日立,ひたち,"
龍ヶ崎市	牛久	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.39.54.700N36.35.14.200&ZM=8&SZ=672,120",日立市幸町,3170073,"
常磐線
"
東北,JR常磐線,牛久,うしく,"
日立	高萩	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.8.39.500N35.58.21.000&ZM=8&SZ=672,120",牛久市牛久町,3001221,"
常磐線
"
東北,JR常磐線,高萩,たかはぎ,"
牛久	ひたち野うしく	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.43.13.300N36.42.40.800&ZM=8&SZ=672,120",高萩市高萩,3180034,"
常磐線
"
東北,JR常磐線,ひたち野うしく,ひたちのうしく,"
高萩	荒川沖	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.9.41.500N36.0.14.900&ZM=8&SZ=672,120",牛久市中根町,3001202,"
常磐線
"
東北,JR常磐線,荒川沖,あらかわおき,"
ひたち野うしく	泉（ＪＲ）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.10.11.700N36.1.41.100&ZM=8&SZ=672,120",土浦市荒川沖東,3000871,"
常磐線
"
東北,JR常磐線,泉（ＪＲ）,いずみ,"
荒川沖	土浦	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.51.26.500N36.57.8.900&ZM=8&SZ=672,120",いわき市泉玉露,9718172,"
常磐線
"
東北,JR常磐線,湯本,ゆもと,"
土浦	いわき	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.51.11.400N37.0.13.900&ZM=8&SZ=672,120",いわき市常磐湯本町,9728321,"
常磐線
"
東北,JR常磐線,いわき,いわき,"
湯本	神立	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.53.44.700N37.3.18.500&ZM=8&SZ=672,120",いわき市平,9708026,"
常磐線
磐越東線
"
東北,JR常磐線,神立,かんだつ,"
いわき	原ノ町	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.15.6.600N36.7.1.600&ZM=8&SZ=672,120",土浦市神立町,3000013,"
常磐線
"
東北,JR常磐線,原ノ町,はらのまち,"
神立	高浜（茨城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.58.27.800N37.38.6.300&ZM=8&SZ=672,120",南相馬市原町区旭町,9750004,"
常磐線
"
